creationDate|PersonId|CompanyId|workFrom
2012-12-23T11:05:38.807+00:00|37383395345706|664|2010
2012-12-23T15:01:44.141+00:00|37383395344705|304|2012
2012-12-23T15:01:44.141+00:00|37383395344705|921|2010
2012-12-23T15:01:44.141+00:00|37383395344705|923|2011
2012-12-23T15:01:44.141+00:00|37383395344705|927|2011
2012-12-23T18:41:37.873+00:00|37383395344835|953|2006
2012-12-23T19:17:42.914+00:00|37383395345920|150|2005
2012-12-23T19:17:42.914+00:00|37383395345920|182|2006
2012-12-23T19:17:42.914+00:00|37383395345920|151|2005
2012-12-23T19:17:42.914+00:00|37383395345920|171|2004
2012-12-23T20:48:02.611+00:00|37383395345512|550|2002
2012-12-23T20:48:02.611+00:00|37383395345512|552|2002
