deletionDate|PersonId|PostId
2012-12-17T06:38:23.142+00:00|983|1168231221413
2012-12-17T10:41:26.275+00:00|2199023256904|1168231296029
2012-12-17T11:09:54.611+00:00|10995116278753|1168231380247
2012-12-17T11:51:07.539+00:00|30786325578073|1168231330778
2012-12-17T15:50:39.752+00:00|17592186045625|1168231471483
2012-12-17T16:37:00.440+00:00|983|1168231221403
2012-12-17T17:11:05.638+00:00|24189255811622|1168231314161
2012-12-17T17:39:28.963+00:00|17592186044725|1168231132816
2012-12-17T17:44:39.152+00:00|35184372090106|1168231221413
2012-12-17T18:44:27.904+00:00|17592186045590|1168231271732
