deletionDate|Person1Id|Person2Id
2012-12-21T08:46:01.014+00:00|13194139534169|32985348833938
2012-12-21T10:31:43.898+00:00|15393162789912|21990232556540
2012-12-21T11:34:37.092+00:00|15393162789420|19791209301186
2012-12-21T14:56:41.150+00:00|483|37383395345572
2012-12-21T16:00:53.055+00:00|1270|21990232557010
2012-12-21T18:01:12.434+00:00|19791209301265|24189255812099
2012-12-21T19:30:44.065+00:00|21990232556858|35184372088972
2012-12-21T19:42:39.059+00:00|10995116278996|26388279068209
2012-12-21T20:27:01.143+00:00|21990232556604|28587302322767
2012-12-21T22:24:43.346+00:00|32985348833353|37383395345882
2012-12-21T22:54:44.843+00:00|2199023255767|35184372089798
