creationDate|CommentId|TagId
2012-12-28T00:00:03.349+00:00|1168231262128|2000
2012-12-28T00:00:03.349+00:00|1168231262128|11780
2012-12-28T00:00:35.634+00:00|1168231387215|2787
2012-12-28T00:00:35.634+00:00|1168231387215|3033
2012-12-28T00:00:35.634+00:00|1168231387215|5145
2012-12-28T00:00:35.634+00:00|1168231387215|7080
2012-12-28T00:00:35.634+00:00|1168231387215|9346
2012-12-28T00:00:35.634+00:00|1168231387215|13860
2012-12-28T00:01:14.125+00:00|1168231232477|7924
2012-12-28T00:01:14.125+00:00|1168231232477|12313
2012-12-28T00:02:46.666+00:00|1168231169908|2898
2012-12-28T00:02:46.666+00:00|1168231169908|9182
2012-12-28T00:02:46.666+00:00|1168231169908|11990
2012-12-28T00:02:46.666+00:00|1168231169908|12235
2012-12-28T00:05:51.013+00:00|1168231289632|6962
2012-12-28T00:05:51.013+00:00|1168231289632|8902
2012-12-28T00:07:57.523+00:00|1168231321643|9742
2012-12-28T00:09:22.471+00:00|1168231493784|2031
2012-12-28T00:09:22.471+00:00|1168231493784|11530
2012-12-28T00:09:22.471+00:00|1168231493784|12122
2012-12-28T00:11:42.023+00:00|1168231420669|782
2012-12-28T00:11:42.023+00:00|1168231420669|9310
2012-12-28T00:11:45.387+00:00|1168231329054|1766
2012-12-28T00:11:45.387+00:00|1168231329054|7567
2012-12-28T00:14:46.586+00:00|1168231387023|5081
2012-12-28T00:14:46.586+00:00|1168231387023|7581
2012-12-28T00:14:46.586+00:00|1168231387023|10661
2012-12-28T00:14:46.586+00:00|1168231387023|11333
2012-12-28T00:17:42.393+00:00|1168231442346|5762
2012-12-28T00:17:42.393+00:00|1168231442346|5779
2012-12-28T00:17:42.393+00:00|1168231442346|11129
2012-12-28T00:22:24.229+00:00|1168231449529|558
2012-12-28T00:22:24.229+00:00|1168231449529|8391
2012-12-28T00:23:01.917+00:00|1168231412952|287
2012-12-28T00:23:59.867+00:00|1168231187747|5006
2012-12-28T00:23:59.867+00:00|1168231187747|13816
2012-12-28T00:24:09.869+00:00|1168231187752|5006
