creationDate|PersonId|UniversityId|classYear
2010-01-03T15:10:31.499+00:00|14|4593|2004
2010-01-31T13:13:03.929+00:00|16|5809|2004
2010-01-19T13:51:10.863+00:00|27|5804|2007
2010-01-19T23:03:07.674+00:00|33|1596|2003
2010-01-20T07:32:07.566+00:00|42|1597|2002
2010-02-20T09:49:47.443+00:00|46|5038|2004
2010-01-05T12:12:37.385+00:00|66|3009|2002
2010-02-09T22:29:01.024+00:00|71|6150|2003
2010-01-01T00:46:06.678+00:00|181|2451|2003
2010-01-07T11:20:01.390+00:00|248|6306|2002
2010-01-30T14:23:23.459+00:00|325|2450|2000
2010-01-10T13:24:26.708+00:00|375|7892|2002
2010-01-17T21:30:24.103+00:00|394|1961|2006
2010-01-27T12:45:36.698+00:00|412|4592|2000
2010-02-24T01:32:19.837+00:00|417|2214|2006
2010-02-21T08:17:42.178+00:00|435|2214|2006
2010-01-24T20:32:11.771+00:00|448|2211|2003
2010-02-21T12:43:33.240+00:00|455|6168|2005
2010-02-25T05:10:38.286+00:00|460|2832|2008
2010-02-14T11:35:46.669+00:00|478|5981|2007
2010-02-12T08:04:25.439+00:00|483|1635|2009
2010-01-27T06:17:13.238+00:00|490|3008|2002
2010-02-13T19:20:48.228+00:00|555|2209|2001
2010-01-12T05:20:36.978+00:00|561|2210|2005
2010-01-19T06:03:03.336+00:00|599|5938|2000
2010-01-01T15:45:47.061+00:00|659|2470|2001
2010-02-26T00:33:04.619+00:00|673|6392|2004
2010-02-20T02:22:09.856+00:00|690|1971|2000
2010-01-26T01:07:05.669+00:00|699|6163|2005
2010-01-24T18:46:35.614+00:00|705|6540|2008
2010-01-06T20:28:01.024+00:00|756|5188|2009
2010-01-08T06:00:10.612+00:00|772|6172|2002
2010-02-04T13:58:27.400+00:00|773|6799|2005
2010-02-10T00:50:45.975+00:00|783|6476|2006
2010-02-02T22:43:41.454+00:00|786|2452|2005
2010-01-16T02:28:02.697+00:00|796|3014|2001
2010-01-09T00:05:21.040+00:00|808|3006|2006
2010-02-28T02:08:58.657+00:00|859|3006|2003
2010-02-11T11:29:34.131+00:00|881|6554|2005
2010-01-04T12:14:34.965+00:00|903|6798|2003
2010-03-03T02:35:31.479+00:00|910|1855|2010
2010-01-01T01:54:03.489+00:00|919|2524|2004
2010-02-16T21:41:06.249+00:00|933|2643|2008
2010-01-21T15:34:48.534+00:00|981|1959|2009
2010-01-30T01:23:07.211+00:00|983|5184|2002
2010-01-28T14:38:25.642+00:00|1009|5526|2004
2010-01-29T12:22:51.239+00:00|1037|2828|1998
2010-01-04T02:16:27.124+00:00|1065|5268|2000
2010-01-02T01:16:09.935+00:00|1096|4750|2006
2010-01-30T07:53:23.075+00:00|1130|3008|2007
2010-02-12T06:42:32.659+00:00|1171|2212|2004
2010-01-18T15:00:43.490+00:00|1180|5867|2008
2010-02-04T07:32:20.964+00:00|1204|1800|2003
2010-01-18T11:31:34.721+00:00|1223|6308|2002
2010-02-14T03:28:25.768+00:00|1230|6807|2001
2010-01-20T13:39:37.801+00:00|1246|2209|2007
2010-02-13T16:00:06.846+00:00|1251|5190|2006
2010-03-01T12:32:10.059+00:00|1270|5866|2006
2010-01-04T12:48:38.958+00:00|1286|5988|2002
2010-03-02T19:12:56.926+00:00|1295|6150|2004
2010-01-14T19:26:03.773+00:00|1305|6552|2001
2010-01-12T20:54:21.532+00:00|1331|5185|2006
2010-02-05T06:50:23.437+00:00|1344|1637|2006
2010-02-19T05:09:34.977+00:00|1355|1642|2007
2010-02-19T15:29:38.071+00:00|1364|5046|2008
2010-02-20T14:01:08.026+00:00|1374|6473|2003
2010-02-14T09:44:01.187+00:00|1382|1980|2002
2010-02-01T14:15:22.461+00:00|1403|4745|2008
2010-02-18T11:19:03.789+00:00|1412|3008|2010
2010-01-20T20:52:02.254+00:00|1425|2210|2005
2010-01-28T20:43:50.602+00:00|1428|7895|2009
2010-02-07T21:25:15.217+00:00|1435|6797|2004
2010-01-22T08:02:41.027+00:00|1443|4673|2004
2010-02-11T03:52:17.064+00:00|1448|7900|2005
2010-02-09T09:59:32.706+00:00|1467|3013|2005
2010-02-11T21:38:46.327+00:00|1494|2205|2004
2010-01-17T10:03:52.857+00:00|1505|2207|2001
2010-02-24T18:37:28.061+00:00|1555|4956|2002
2010-01-13T07:50:27.569+00:00|1582|1957|2004
2010-02-18T10:30:33.485+00:00|1605|3938|2007
2010-02-05T20:52:50.278+00:00|1608|2438|2010
2010-02-08T03:36:26.551+00:00|1628|4747|2009
2010-01-31T05:28:34.959+00:00|1646|3011|2003
2010-01-19T01:02:44.763+00:00|1649|6393|2001
2010-02-06T20:50:18.046+00:00|1661|5041|2005
2010-02-15T10:25:53.204+00:00|1681|2176|2006
2010-01-13T03:59:52.085+00:00|1682|5037|2006
2010-03-24T18:14:04.882+00:00|2199023255557|1953|2008
2010-04-18T01:27:21.494+00:00|2199023255573|5263|2007
2010-03-11T19:37:08.691+00:00|2199023255638|5046|2004
2010-04-28T04:16:08.277+00:00|2199023255641|3014|2005
2010-03-17T18:26:46.550+00:00|2199023255672|5188|2007
2010-03-19T09:26:49.641+00:00|2199023255686|5236|2006
2010-04-30T16:00:03.437+00:00|2199023255691|5164|2003
2010-04-28T03:05:54.095+00:00|2199023255694|3823|2002
2010-04-11T11:01:27.222+00:00|2199023255724|1855|1998
2010-03-30T11:54:07.818+00:00|2199023255767|5168|2007
2010-03-13T05:17:24.814+00:00|2199023255778|7896|2009
2010-03-25T00:31:44.608+00:00|2199023255782|7899|2001
2010-04-18T15:20:55.401+00:00|2199023255783|5266|2009
2010-04-01T23:23:59.694+00:00|2199023255790|6554|2004
2010-03-21T19:34:14.855+00:00|2199023255827|2210|2006
2010-04-11T10:00:08.297+00:00|2199023255851|2831|2009
2010-04-08T08:08:07.483+00:00|2199023255869|5236|2003
2010-04-17T07:16:53.461+00:00|2199023255905|2209|2008
2010-05-01T23:52:56.800+00:00|2199023255937|3498|1998
