creationDate|CommentId|TagId
2012-12-30T03:44:53.297+00:00|1168231107467|9853
2012-12-30T07:03:41.312+00:00|1168231107469|9100
2012-12-30T07:03:41.312+00:00|1168231107469|9853
2012-12-30T12:08:47.628+00:00|1168231108422|2118
2012-12-30T12:08:47.628+00:00|1168231108422|5114
2012-12-30T13:34:25.431+00:00|1168231108427|5074
2012-12-30T15:37:05.373+00:00|1168231108572|139
2012-12-30T15:37:05.373+00:00|1168231108572|7307
2012-12-30T16:25:53.417+00:00|1168231107555|5097
2012-12-30T20:30:03.999+00:00|1168231107558|2847
