deletionDate|PersonId|CommentId
2012-12-13T02:36:22.964+00:00|2199023256573|1168231429126
2012-12-13T02:47:34.708+00:00|13194139534869|1168231230317
2012-12-13T03:15:01.115+00:00|30786325578612|1168231380047
2012-12-13T03:29:52.022+00:00|19791209301084|1168231385202
2012-12-13T05:00:24.481+00:00|21990232556898|1168231294784
2012-12-13T05:57:00.824+00:00|19791209300421|1168231309316
2012-12-13T06:25:47.688+00:00|19791209300778|1168231491028
2012-12-13T07:08:55.741+00:00|24189255812726|1168231364340
2012-12-13T08:54:07.979+00:00|32985348833938|1168231121897
2012-12-13T09:18:54.616+00:00|17592186044534|1168231429126
2012-12-13T09:28:14.051+00:00|21990232555639|1168231379479
2012-12-13T11:28:00.993+00:00|30786325579018|1168231309536
2012-12-13T11:37:46.753+00:00|13194139533439|1168231383542
2012-12-13T13:25:48.411+00:00|10995116278578|1168231488398
2012-12-13T13:58:31.029+00:00|21990232557019|1168231488398
2012-12-13T14:56:48.283+00:00|24189255812726|1168231130610
2012-12-13T15:08:17.656+00:00|13194139533732|1168231469505
2012-12-13T15:52:11.014+00:00|17592186045875|1168231370361
2012-12-13T16:34:07.373+00:00|21990232556064|1168231133132
2012-12-13T16:47:22.013+00:00|13194139533965|1168231237322
2012-12-13T19:17:50.268+00:00|10995116278390|1168231338952
2012-12-13T19:40:55.261+00:00|24189255812671|1168231161194
2012-12-13T20:48:39.034+00:00|24189255811441|1168231209686
2012-12-13T20:54:09.736+00:00|6597069768352|1168231121897
2012-12-13T21:52:47.684+00:00|17592186044574|1168231404268
