creationDate|id|imageFile|locationIP|browserUsed|language|content|length|CreatorPersonId|ContainerForumId|LocationCountryId
2012-12-16T01:09:36.762+00:00|1168231502891|photo1168231502891.jpg|49.236.40.147|Chrome|||0|32985348833584|1168231120767|0
2012-12-16T01:09:37.762+00:00|1168231502892|photo1168231502892.jpg|49.236.40.147|Chrome|||0|32985348833584|1168231120767|0
2012-12-16T01:09:38.762+00:00|1168231502893|photo1168231502893.jpg|49.236.40.147|Chrome|||0|32985348833584|1168231120767|0
2012-12-16T01:09:39.762+00:00|1168231502894|photo1168231502894.jpg|49.236.40.147|Chrome|||0|32985348833584|1168231120767|0
2012-12-16T01:09:40.762+00:00|1168231502895|photo1168231502895.jpg|49.236.40.147|Chrome|||0|32985348833584|1168231120767|0
2012-12-16T01:09:41.762+00:00|1168231502896|photo1168231502896.jpg|49.236.40.147|Chrome|||0|32985348833584|1168231120767|0
2012-12-16T01:09:42.762+00:00|1168231502897|photo1168231502897.jpg|49.236.40.147|Chrome|||0|32985348833584|1168231120767|0
2012-12-16T01:09:43.762+00:00|1168231502898|photo1168231502898.jpg|49.236.40.147|Chrome|||0|32985348833584|1168231120767|0
2012-12-16T01:13:51.800+00:00|1168231127356||27.48.183.112|Firefox|my|About Morocco, eutral observers to be mostly free and fair. Voter turnout in these elections was|96|2199023256818|412316861276|0
2012-12-16T01:23:42.136+00:00|1168231507278|photo1168231507278.jpg|187.116.3.13|Chrome|||0|35184372090040|1168231121108|49
2012-12-16T01:23:43.136+00:00|1168231507279|photo1168231507279.jpg|187.116.3.13|Chrome|||0|35184372090040|1168231121108|49
2012-12-16T01:23:44.136+00:00|1168231507280|photo1168231507280.jpg|187.116.3.13|Chrome|||0|35184372090040|1168231121108|49
2012-12-16T01:23:45.136+00:00|1168231507281|photo1168231507281.jpg|187.116.3.13|Chrome|||0|35184372090040|1168231121108|49
2012-12-16T01:23:46.136+00:00|1168231507282|photo1168231507282.jpg|187.116.3.13|Chrome|||0|35184372090040|1168231121108|49
2012-12-16T01:23:47.136+00:00|1168231507283|photo1168231507283.jpg|187.116.3.13|Chrome|||0|35184372090040|1168231121108|49
2012-12-16T01:23:48.136+00:00|1168231507284|photo1168231507284.jpg|187.116.3.13|Chrome|||0|35184372090040|1168231121108|49
2012-12-16T01:49:00.128+00:00|1168231385422|photo1168231385422.jpg|41.92.31.35|Internet Explorer|||0|15393162789325|1168231115136|87
2012-12-16T01:49:01.128+00:00|1168231385423|photo1168231385423.jpg|41.92.31.35|Internet Explorer|||0|15393162789325|1168231115136|87
2012-12-16T01:49:02.128+00:00|1168231385424|photo1168231385424.jpg|41.92.31.35|Internet Explorer|||0|15393162789325|1168231115136|87
