creationDate|id|imageFile|locationIP|browserUsed|language|content|length|CreatorPersonId|ContainerForumId|LocationCountryId
2012-12-21T02:39:18.226+00:00|1168231106711||27.116.34.47|Chrome|mr|About Hamid Karzai,  assembly) that was held in Kabul, Afghanistan. After the 2004 presidential election, Karzai was de|119|13194139533355|412316860621|0
2012-12-21T17:41:16.797+00:00|1168231108300|photo1168231108300.jpg|196.1.135.241|Internet Explorer|||0|30786325577740|1168231104879|71
2012-12-21T17:41:17.797+00:00|1168231108301|photo1168231108301.jpg|196.1.135.241|Internet Explorer|||0|30786325577740|1168231104879|71
2012-12-21T17:41:18.797+00:00|1168231108302|photo1168231108302.jpg|196.1.135.241|Internet Explorer|||0|30786325577740|1168231104879|71
2012-12-21T17:41:19.797+00:00|1168231108303|photo1168231108303.jpg|196.1.135.241|Internet Explorer|||0|30786325577740|1168231104879|71
2012-12-21T17:41:20.797+00:00|1168231108304|photo1168231108304.jpg|196.1.135.241|Internet Explorer|||0|30786325577740|1168231104879|71
2012-12-21T17:41:21.797+00:00|1168231108305|photo1168231108305.jpg|196.1.135.241|Internet Explorer|||0|30786325577740|1168231104879|71
2012-12-21T17:41:22.797+00:00|1168231108306|photo1168231108306.jpg|196.1.135.241|Internet Explorer|||0|30786325577740|1168231104879|71
2012-12-21T17:41:23.797+00:00|1168231108307|photo1168231108307.jpg|196.1.135.241|Internet Explorer|||0|30786325577740|1168231104879|71
2012-12-21T17:41:24.797+00:00|1168231108308|photo1168231108308.jpg|196.1.135.241|Internet Explorer|||0|30786325577740|1168231104879|71
2012-12-21T17:41:25.797+00:00|1168231108309|photo1168231108309.jpg|196.1.135.241|Internet Explorer|||0|30786325577740|1168231104879|71
2012-12-21T19:30:54.192+00:00|1168231108634|photo1168231108634.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:30:55.192+00:00|1168231108635|photo1168231108635.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:30:56.192+00:00|1168231108636|photo1168231108636.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:30:57.192+00:00|1168231108637|photo1168231108637.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:30:58.192+00:00|1168231108638|photo1168231108638.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:30:59.192+00:00|1168231108639|photo1168231108639.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:31:00.192+00:00|1168231108640|photo1168231108640.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:31:01.192+00:00|1168231108641|photo1168231108641.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:31:02.192+00:00|1168231108642|photo1168231108642.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:31:03.192+00:00|1168231108643|photo1168231108643.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:31:04.192+00:00|1168231108644|photo1168231108644.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:31:05.192+00:00|1168231108645|photo1168231108645.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:31:06.192+00:00|1168231108646|photo1168231108646.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:31:07.192+00:00|1168231108647|photo1168231108647.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:31:08.192+00:00|1168231108648|photo1168231108648.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:31:09.192+00:00|1168231108649|photo1168231108649.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:31:10.192+00:00|1168231108650|photo1168231108650.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:31:11.192+00:00|1168231108651|photo1168231108651.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
2012-12-21T19:31:12.192+00:00|1168231108652|photo1168231108652.jpg|41.74.150.41|Firefox|||0|35184372088850|1168231104904|97
