creationDate|Person1Id|Person2Id
2012-12-28T00:04:14.914+00:00|13194139534051|37383395344878
2012-12-28T00:20:29.818+00:00|10995116278482|37383395344878
2012-12-28T00:20:42.270+00:00|21990232556445|30786325578726
2012-12-28T00:24:48.767+00:00|17592186044794|37383395344878
2012-12-28T00:29:31.137+00:00|13194139534507|37383395344865
2012-12-28T00:38:15.736+00:00|10995116279197|35184372088856
2012-12-28T00:48:39.131+00:00|19791209300333|37383395344878
2012-12-28T00:52:05.099+00:00|10995116279272|30786325579197
2012-12-28T01:16:36.581+00:00|30786325577795|35184372089264
2012-12-28T01:31:24.021+00:00|19791209301580|37383395345078
2012-12-28T01:33:00.612+00:00|2199023255851|37383395346020
2012-12-28T01:36:19.117+00:00|8796093023077|37383395345740
2012-12-28T01:37:20.064+00:00|15393162790285|37383395344525
2012-12-28T01:41:11.053+00:00|8796093023895|37383395344878
2012-12-28T02:31:32.477+00:00|2199023256083|37383395345078
2012-12-28T02:34:17.647+00:00|6597069768323|35184372090040
2012-12-28T02:35:48.498+00:00|28587302322797|37383395345948
2012-12-28T03:11:34.572+00:00|10995116279024|37383395345811
2012-12-28T03:17:45.408+00:00|6597069767811|37383395344525
2012-12-28T03:24:43.234+00:00|35184372089370|37383395344993
2012-12-28T03:38:21.521+00:00|15393162789407|37383395344878
2012-12-28T03:45:53.108+00:00|910|37383395344633
2012-12-28T04:05:18.644+00:00|10995116279272|32985348834010
2012-12-28T04:07:12.562+00:00|35184372089100|37383395345473
2012-12-28T04:08:04.595+00:00|8796093023371|10995116278066
2012-12-28T04:10:20.236+00:00|21990232556059|30786325578527
2012-12-28T04:13:30.116+00:00|17592186044744|37383395345920
2012-12-28T04:20:31.371+00:00|6597069767700|28587302322210
2012-12-28T04:44:20.104+00:00|1204|35184372089367
2012-12-28T04:44:36.504+00:00|17592186044794|35184372090060
2012-12-28T04:55:09.103+00:00|17592186044645|30786325578070
2012-12-28T05:08:01.093+00:00|4398046512623|17592186044574
2012-12-28T05:09:32.550+00:00|21990232556205|30786325577994
2012-12-28T05:13:07.157+00:00|8796093023077|30786325578333
2012-12-28T05:14:10.028+00:00|28587302322216|37383395344865
2012-12-28T05:20:06.638+00:00|21990232556511|32985348833732
2012-12-28T05:51:33.452+00:00|37383395344998|37383395345920
2012-12-28T05:56:30.062+00:00|21990232556059|37383395344878
2012-12-28T06:04:25.243+00:00|1204|37383395345628
2012-12-28T06:28:31.934+00:00|21990232556617|37383395345414
2012-12-28T06:35:39.256+00:00|21990232556641|37383395345414
2012-12-28T06:40:49.511+00:00|8796093022904|35184372089100
2012-12-28T07:02:16.186+00:00|19791209300224|37383395344579
2012-12-28T07:03:56.851+00:00|17592186044574|37383395344878
2012-12-28T07:11:52.928+00:00|8796093023087|37383395345141
2012-12-28T07:17:53.951+00:00|2199023255767|13194139534651
2012-12-28T07:28:48.368+00:00|6597069766697|37383395345948
2012-12-28T07:36:45.097+00:00|30786325578726|37383395344878
2012-12-28T07:42:56.087+00:00|705|37383395345249
