deletionDate|Person1Id|Person2Id
2012-12-26T00:26:02.617+00:00|10995116278400|28587302322664
2012-12-26T04:36:46.208+00:00|10995116278449|37383395345572
2012-12-26T05:41:27.099+00:00|17592186045813|30786325578300
2012-12-26T08:08:09.463+00:00|28587302322542|37383395344428
2012-12-26T09:51:28.210+00:00|15393162789420|24189255812361
2012-12-26T10:02:09.556+00:00|13194139534658|32985348834358
2012-12-26T10:12:30.768+00:00|4398046512175|37383395344977
2012-12-26T11:12:18.779+00:00|26388279067353|37383395346041
2012-12-26T12:58:23.388+00:00|4398046512328|21990232556235
2012-12-26T16:01:57.702+00:00|24189255811415|35184372088856
2012-12-26T16:50:09.103+00:00|26388279067210|30786325578528
2012-12-26T18:17:22.382+00:00|26388279067210|32985348834358
2012-12-26T18:38:39.559+00:00|19791209300177|37383395345531
2012-12-26T20:00:42.062+00:00|15393162788962|37383395345531
2012-12-26T20:22:34.288+00:00|24189255812134|37383395345920
2012-12-26T21:24:06.481+00:00|17592186046075|37383395344977
2012-12-26T22:08:59.039+00:00|21990232556083|30786325579294
2012-12-26T22:59:36.695+00:00|21990232556187|35184372090060
