deletionDate|ForumId|PersonId
2012-12-29T00:17:26.404+00:00|1168231121267|13194139534942
2012-12-29T00:23:03.595+00:00|1168231120383|13194139534460
2012-12-29T01:05:08.131+00:00|1099511644243|15393162789718
2012-12-29T02:21:03.411+00:00|1168231112451|37383395345473
2012-12-29T02:44:08.180+00:00|1099511644241|21990232556367
2012-12-29T05:21:15.932+00:00|1099511642313|21990232556064
2012-12-29T05:54:22.086+00:00|343597387272|32985348833375
2012-12-29T08:10:22.035+00:00|1030792165218|2199023256616
2012-12-29T08:12:17.233+00:00|1099511631041|26388279066944
2012-12-29T08:32:20.086+00:00|1030792166666|21990232555797
2012-12-29T08:47:32.299+00:00|1168231121179|37383395344878
2012-12-29T10:51:23.158+00:00|1168231121285|4398046511908
2012-12-29T11:39:59.717+00:00|1099511643400|981
2012-12-29T12:00:28.909+00:00|1030792166653|8796093023895
2012-12-29T14:23:09.734+00:00|1168231120383|4398046511613
2012-12-29T14:40:15.416+00:00|1168231119546|19791209300424
2012-12-29T15:43:36.465+00:00|1168231121241|21990232556290
2012-12-29T16:39:18.200+00:00|1168231120893|1382
2012-12-29T17:26:17.557+00:00|1099511644241|35184372090495
2012-12-29T17:30:37.852+00:00|1168231107309|10995116277805
2012-12-29T17:57:01.856+00:00|618475299081|15393162790368
2012-12-29T19:18:29.211+00:00|1030792165218|37383395344787
2012-12-29T20:51:29.585+00:00|1168231112451|35184372089300
2012-12-29T22:07:17.802+00:00|1168231121283|2199023255869
2012-12-29T22:11:59.722+00:00|1168231121179|8796093023500
2012-12-29T23:42:34.138+00:00|1168231121283|21990232556792
