deletionDate|ForumId|PersonId
2012-12-24T07:09:03.970+00:00|1168231113989|19791209300177
2012-12-24T13:33:44.486+00:00|824633730804|30786325579197
2012-12-24T13:43:30.071+00:00|1168231117375|17592186045041
2012-12-24T14:38:41.315+00:00|1099511644241|4398046512269
2012-12-24T16:14:49.533+00:00|1168231117279|21990232557184
2012-12-24T17:21:07.258+00:00|1168231121101|1312
2012-12-24T18:48:17.614+00:00|618475300102|910
2012-12-24T18:49:06.004+00:00|1168231121234|2199023256472
2012-12-24T19:21:46.488+00:00|343597387272|30786325577990
2012-12-24T23:35:47.772+00:00|1168231107309|35184372089332
