deletionDate|PersonId|CommentId
2012-12-03T01:10:04.553+00:00|2199023255686|1168231292838
2012-12-03T04:21:12.000+00:00|32985348834072|1168231482774
2012-12-03T04:28:37.993+00:00|28587302322395|1168231143425
2012-12-03T04:48:09.766+00:00|30786325579123|1168231123132
2012-12-03T06:03:03.224+00:00|28587302323752|1168231300173
2012-12-03T07:08:28.147+00:00|24189255811175|1168231328479
2012-12-03T10:44:10.837+00:00|2199023256532|1168231271654
2012-12-03T11:13:51.874+00:00|15393162790310|1168231299667
2012-12-03T14:15:32.789+00:00|35184372088834|1168231480786
2012-12-03T17:06:35.461+00:00|6597069767381|1168231143425
2012-12-03T21:27:37.687+00:00|21990232556610|1168231111485
2012-12-03T23:37:33.674+00:00|19791209300502|1168231232812
