creationDate|Person1Id|Person2Id
2012-12-16T00:07:55.299+00:00|15393162789023|37383395344931
2012-12-16T00:36:30.348+00:00|1305|32985348833492
2012-12-16T01:03:46.891+00:00|1180|30786325577990
2012-12-16T01:18:46.258+00:00|1204|32985348834914
2012-12-16T01:48:17.274+00:00|24189255812617|37383395345239
2012-12-16T02:00:58.652+00:00|10995116279045|37383395345880
2012-12-16T02:04:04.011+00:00|4398046512351|30786325578717
2012-12-16T02:05:35.136+00:00|37383395345948|37383395346020
2012-12-16T02:11:07.930+00:00|19791209300651|37383395345948
2012-12-16T02:15:13.431+00:00|30786325578726|35184372089698
2012-12-16T02:32:16.969+00:00|15393162790355|37383395346041
2012-12-16T02:35:01.816+00:00|13194139534789|30786325577990
2012-12-16T02:43:46.345+00:00|21990232555820|30786325578931
2012-12-16T02:56:47.454+00:00|10995116278066|13194139533646
2012-12-16T02:59:38.810+00:00|24189255811081|32985348833966
2012-12-16T03:30:08.670+00:00|32985348834814|35184372088856
2012-12-16T04:10:19.939+00:00|21990232556030|35184372088972
2012-12-16T04:54:42.041+00:00|24189255811232|24189255812554
2012-12-16T05:12:09.962+00:00|28587302322210|35184372089332
2012-12-16T05:37:42.520+00:00|13194139534169|35184372089100
2012-12-16T05:55:36.845+00:00|4398046512803|28587302322698
2012-12-16T05:57:20.767+00:00|10995116279272|24189255812623
2012-12-16T06:04:54.122+00:00|2199023256479|37383395345531
2012-12-16T06:08:54.151+00:00|15393162788962|35184372090529
2012-12-16T06:09:40.014+00:00|28587302323659|35184372089798
2012-12-16T06:31:07.559+00:00|26388279066876|32985348833746
2012-12-16T07:35:23.137+00:00|21990232557010|35184372088856
2012-12-16T07:37:55.551+00:00|17592186045913|24189255811433
2012-12-16T07:52:18.184+00:00|21990232556792|35184372090502
2012-12-16T07:53:18.647+00:00|4398046511608|30786325579297
2012-12-16T08:08:48.712+00:00|24189255812037|35184372088985
2012-12-16T08:42:17.901+00:00|15393162789271|35184372089012
2012-12-16T08:58:58.830+00:00|10995116278727|19791209300812
2012-12-16T10:24:56.511+00:00|21990232556030|32985348834242
2012-12-16T11:03:43.207+00:00|17592186045577|24189255811232
2012-12-16T11:11:02.800+00:00|30786325578073|35184372089798
2012-12-16T11:19:44.376+00:00|1204|37383395345633
2012-12-16T11:22:10.061+00:00|35184372088985|37383395345707
2012-12-16T11:53:38.036+00:00|17592186044674|35184372089012
2012-12-16T12:20:19.135+00:00|13194139534169|35184372090346
2012-12-16T13:05:44.041+00:00|15393162789178|30786325579234
2012-12-16T13:17:59.989+00:00|30786325577990|35184372090424
2012-12-16T13:36:43.041+00:00|13194139534942|37383395345711
2012-12-16T13:58:11.671+00:00|37383395345239|37383395345384
2012-12-16T14:00:32.636+00:00|8796093022491|19791209301104
2012-12-16T14:10:08.709+00:00|30786325579250|37383395344412
2012-12-16T14:13:54.270+00:00|28587302322552|32985348833746
2012-12-16T14:24:30.900+00:00|2199023255851|35184372089012
