creationDate|PersonId|CompanyId|workFrom
2010-01-03T15:10:31.499+00:00|14|603|2004
2010-01-03T15:10:31.499+00:00|14|589|2004
2010-01-03T15:10:31.499+00:00|14|591|2005
2010-01-31T13:13:03.929+00:00|16|978|2005
2010-01-31T13:13:03.929+00:00|16|972|2006
2010-01-19T13:51:10.863+00:00|27|970|2008
2010-01-19T13:51:10.863+00:00|27|974|2008
2010-01-20T07:32:07.566+00:00|42|8|2002
2010-02-20T09:49:47.443+00:00|46|787|2005
2010-02-20T09:49:47.443+00:00|46|779|2006
2010-02-20T09:49:47.443+00:00|46|781|2006
2010-02-20T09:49:47.443+00:00|46|799|2004
2010-01-05T12:12:37.385+00:00|66|547|2003
2010-01-05T12:12:37.385+00:00|66|551|2003
2010-01-18T02:01:53.909+00:00|100|22|2007
2010-02-19T09:16:53.438+00:00|107|698|2011
2010-02-19T12:42:14.255+00:00|166|106|2005
2010-02-19T12:42:14.255+00:00|166|109|2012
2010-01-01T00:46:06.678+00:00|181|304|2005
2010-01-01T00:46:06.678+00:00|181|306|2003
2010-01-01T00:46:06.678+00:00|181|307|2003
2010-01-01T00:46:06.678+00:00|181|303|2005
2010-01-30T14:23:23.459+00:00|325|305|2001
2010-01-30T14:23:23.459+00:00|325|307|2001
2010-01-25T15:10:21.430+00:00|347|933|2002
2010-01-10T13:24:26.708+00:00|375|1559|2003
2010-01-10T13:24:26.708+00:00|375|1560|2004
2010-01-27T12:45:36.698+00:00|412|603|2001
2010-01-27T12:45:36.698+00:00|412|604|2000
2010-02-21T08:17:42.178+00:00|435|920|2006
2010-02-21T08:17:42.178+00:00|435|345|2007
2010-02-21T08:17:42.178+00:00|435|937|2008
2010-02-21T08:17:42.178+00:00|435|907|2007
2010-01-24T20:32:11.771+00:00|448|938|2003
2010-02-21T12:43:33.240+00:00|455|1141|2006
2010-02-21T12:43:33.240+00:00|455|1158|2006
2010-02-21T12:43:33.240+00:00|455|1160|2007
2010-02-21T12:43:33.240+00:00|455|1146|2005
2010-02-25T05:10:38.286+00:00|460|83|2009
2010-02-25T05:10:38.286+00:00|460|460|2010
2010-02-14T11:35:46.669+00:00|478|1072|2007
2010-02-14T11:35:46.669+00:00|478|1040|2008
2010-02-14T11:35:46.669+00:00|478|1026|2008
2010-02-14T11:35:46.669+00:00|478|1044|2008
2010-02-14T11:35:46.669+00:00|478|1065|2007
2010-01-27T06:17:13.238+00:00|490|551|2004
2010-01-27T06:17:13.238+00:00|490|541|2003
2010-01-27T06:17:13.238+00:00|490|543|2003
2010-01-18T19:11:14.363+00:00|529|960|2012
2010-01-18T19:11:14.363+00:00|529|965|2006
2010-02-13T19:20:48.228+00:00|555|931|2003
2010-02-13T19:20:48.228+00:00|555|933|2002
2010-02-13T19:20:48.228+00:00|555|729|2003
2010-02-13T19:20:48.228+00:00|555|923|2002
2010-02-13T19:20:48.228+00:00|555|925|2001
2010-01-12T05:20:36.978+00:00|561|929|2006
2010-01-12T05:20:36.978+00:00|561|914|2006
2010-01-12T05:20:36.978+00:00|561|921|2007
2010-01-12T05:20:36.978+00:00|561|922|2007
2010-01-12T05:20:36.978+00:00|561|911|2007
2010-01-19T06:03:03.336+00:00|599|1018|2001
2010-01-19T06:03:03.336+00:00|599|1019|2002
2010-02-26T00:33:04.619+00:00|673|1255|2006
2010-02-26T00:33:04.619+00:00|673|1242|2005
2010-02-26T00:33:04.619+00:00|673|1245|2006
2010-02-20T02:22:09.856+00:00|690|36|2000
2010-02-20T02:22:09.856+00:00|690|202|2002
2010-02-20T02:22:09.856+00:00|690|203|2000
2010-01-26T01:07:05.669+00:00|699|1138|2005
2010-01-26T01:07:05.669+00:00|699|1139|2005
2010-01-12T09:25:40.126+00:00|701|728|2008
2010-01-12T09:25:40.126+00:00|701|729|2006
2010-01-24T18:46:35.614+00:00|705|1324|2009
2010-01-24T18:46:35.614+00:00|705|1325|2009
2010-01-06T20:28:01.024+00:00|756|833|2010
2010-01-06T20:28:01.024+00:00|756|836|2010
2010-01-06T20:28:01.024+00:00|756|842|2011
