creationDate|PersonId|CompanyId|workFrom
2010-01-03T15:10:31.499+00:00|14|603|2004
2010-01-03T15:10:31.499+00:00|14|589|2004
2010-01-03T15:10:31.499+00:00|14|591|2005
2010-01-31T13:13:03.929+00:00|16|978|2005
2010-01-31T13:13:03.929+00:00|16|972|2006
2010-02-12T22:05:24.513+00:00|32|785|2004
2010-02-12T22:05:24.513+00:00|32|789|2002
2010-02-12T22:05:24.513+00:00|32|807|2003
2010-02-12T22:05:24.513+00:00|32|792|2003
2010-02-12T22:05:24.513+00:00|32|778|2003
2010-04-18T01:27:21.494+00:00|2199023255573|890|2008
2010-04-18T01:27:21.494+00:00|2199023255573|892|2008
2010-03-21T12:25:42.685+00:00|2199023255594|8|2003
2010-06-15T10:00:57.698+00:00|4398046511139|888|2012
2010-06-15T10:00:57.698+00:00|4398046511139|889|2012
2010-06-15T10:00:57.698+00:00|4398046511139|890|2012
2010-06-15T10:00:57.698+00:00|4398046511139|891|2011
2010-06-15T10:00:57.698+00:00|4398046511139|894|2012
2010-08-08T01:41:16.348+00:00|6597069766702|787|2006
2010-08-08T01:41:16.348+00:00|6597069766702|779|2006
2010-08-08T01:41:16.348+00:00|6597069766702|781|2005
2010-08-08T01:41:16.348+00:00|6597069766702|799|2006
2010-09-28T17:46:50.451+00:00|8796093022244|544|2010
2010-09-28T17:46:50.451+00:00|8796093022244|550|2008
2010-09-28T17:46:50.451+00:00|8796093022244|554|2008
2010-09-28T17:46:50.451+00:00|8796093022244|540|2009
2010-11-13T15:50:09.443+00:00|10995116277761|496|2006
2010-11-13T15:50:09.443+00:00|10995116277761|514|2005
2010-11-13T15:50:09.443+00:00|10995116277761|293|2006
2010-11-13T15:50:09.443+00:00|10995116277761|507|2006
2010-12-24T05:25:34.086+00:00|10995116277782|680|2007
2010-12-24T05:25:34.086+00:00|10995116277782|666|2008
2010-12-24T05:25:34.086+00:00|10995116277782|670|2008
2011-01-09T19:16:37.913+00:00|13194139533355|544|2007
2011-01-09T19:16:37.913+00:00|13194139533355|546|2007
2011-01-09T19:16:37.913+00:00|13194139533355|553|2008
2011-01-09T19:16:37.913+00:00|13194139533355|540|2007
2011-03-12T15:40:42.861+00:00|15393162788877|1331|2009
2011-03-12T15:40:42.861+00:00|15393162788877|1333|2009
2011-03-12T15:40:42.861+00:00|15393162788877|1337|2010
2011-03-12T15:40:42.861+00:00|15393162788877|1340|2010
2011-03-12T15:40:42.861+00:00|15393162788877|1341|2009
2011-06-24T17:11:54.199+00:00|17592186044443|970|2004
2011-06-24T17:11:54.199+00:00|17592186044443|974|2005
2011-07-26T21:41:34.142+00:00|19791209299968|548|2007
2011-08-04T04:47:58.173+00:00|19791209299987|593|2006
2011-08-04T04:47:58.173+00:00|19791209299987|1572|2007
2011-08-04T04:47:58.173+00:00|19791209299987|1573|2006
2011-08-04T04:47:58.173+00:00|19791209299987|1574|2006
2011-10-06T01:23:31.981+00:00|21990232555526|928|2008
2011-10-06T01:23:31.981+00:00|21990232555526|938|2008
2011-10-06T01:23:31.981+00:00|21990232555526|924|2009
2011-10-06T01:23:31.981+00:00|21990232555526|925|2007
2011-10-06T01:23:31.981+00:00|21990232555526|909|2008
2011-10-17T04:08:45.182+00:00|21990232555527|919|2005
2011-10-17T04:08:45.182+00:00|21990232555527|938|2006
2011-10-17T04:08:45.182+00:00|21990232555527|908|2006
2011-11-07T16:24:26.837+00:00|24189255811109|912|2011
2011-11-07T16:24:26.837+00:00|24189255811109|932|2003
2011-11-07T16:24:26.837+00:00|24189255811109|919|2012
2012-01-10T19:44:54.406+00:00|26388279066632|1|2005
2012-01-10T19:44:54.406+00:00|26388279066632|3|2006
2012-01-12T23:55:02.878+00:00|26388279066641|811|2002
2012-02-03T03:26:31.722+00:00|26388279066655|481|2001
2012-02-03T03:26:31.722+00:00|26388279066655|483|2003
2012-02-03T03:26:31.722+00:00|26388279066655|457|2003
2012-02-03T03:26:31.722+00:00|26388279066655|459|2002
2012-02-03T03:26:31.722+00:00|26388279066655|444|2003
