deletionDate|PersonId|PostId
2012-12-28T01:30:03.766+00:00|28587302322196|1168231395589
2012-12-28T01:53:44.595+00:00|4398046511934|1168231490429
2012-12-28T05:06:01.395+00:00|37383395345222|1168231122788
2012-12-28T06:35:32.609+00:00|21990232557164|1168231192908
2012-12-28T10:29:38.663+00:00|786|1168231203746
2012-12-28T10:57:32.153+00:00|19791209301531|1168231461251
2012-12-28T11:09:02.987+00:00|699|1168231494315
2012-12-28T12:40:13.179+00:00|26388279068245|1168231292588
2012-12-28T17:08:52.045+00:00|13194139534659|1168231264339
2012-12-28T19:32:13.960+00:00|19791209300223|1168231463421
