deletionDate|Person1Id|Person2Id
2012-12-09T02:01:40.607+00:00|24189255812037|35184372090502
2012-12-09T05:01:30.940+00:00|16|17592186045364
2012-12-09T07:18:20.996+00:00|10995116278230|19791209300925
2012-12-09T08:22:47.499+00:00|19791209300150|37383395345384
2012-12-09T11:22:18.578+00:00|26388279067210|32985348834010
2012-12-09T13:55:30.037+00:00|21990232556290|24189255812164
2012-12-09T16:32:26.675+00:00|21990232556205|30786325578528
2012-12-09T19:01:42.496+00:00|1305|37383395344412
2012-12-09T21:03:53.408+00:00|8796093022697|26388279068275
2012-12-09T22:17:18.284+00:00|21990232556445|35184372090502
