deletionDate|id
2012-12-09T00:41:50.095+00:00|1168231442442
2012-12-09T01:56:50.078+00:00|1168231143332
2012-12-09T02:16:46.216+00:00|1168231169340
2012-12-09T02:58:15.485+00:00|1168231493483
2012-12-09T04:14:00.658+00:00|1168231495378
2012-12-09T04:54:06.929+00:00|1168231286530
2012-12-09T06:39:39.554+00:00|1168231484112
2012-12-09T07:07:31.922+00:00|1168231235260
2012-12-09T07:23:02.316+00:00|1168231432676
2012-12-09T07:42:40.159+00:00|1168231393445
2012-12-09T08:51:40.401+00:00|1168231122858
2012-12-09T09:26:22.810+00:00|1168231494149
2012-12-09T09:52:12.122+00:00|1168231199164
2012-12-09T09:54:56.518+00:00|1168231495052
2012-12-09T10:12:14.293+00:00|1168231400141
2012-12-09T10:58:47.487+00:00|1168231197257
2012-12-09T11:20:05.252+00:00|1168231503167
2012-12-09T11:52:11.146+00:00|1168231183714
2012-12-09T13:02:41.464+00:00|1168231302116
2012-12-09T13:12:57.743+00:00|1168231496219
2012-12-09T14:55:46.746+00:00|1168231226936
2012-12-09T14:57:05.919+00:00|1168231251423
2012-12-09T15:00:14.366+00:00|1168231371716
2012-12-09T18:15:40.096+00:00|1168231130497
2012-12-09T18:40:41.019+00:00|1168231490467
2012-12-09T19:44:10.196+00:00|1168231424974
2012-12-09T19:49:11.719+00:00|1168231179541
2012-12-09T20:45:54.504+00:00|1168231187819
2012-12-09T20:52:38.618+00:00|1168231451974
2012-12-09T21:35:29.293+00:00|1168231328704
2012-12-09T22:20:40.579+00:00|1168231183712
2012-12-09T22:27:26.788+00:00|1168231405712
2012-12-09T23:03:09.187+00:00|1168231297011
2012-12-09T23:52:27.629+00:00|1168231372101
