creationDate|ForumId|TagId
2012-12-07T02:13:27.301+00:00|1168231121170|9174
2012-12-07T02:19:54.917+00:00|1168231121308|6
2012-12-07T02:19:54.917+00:00|1168231121308|205
2012-12-07T02:19:54.917+00:00|1168231121308|206
2012-12-07T02:19:54.917+00:00|1168231121308|468
2012-12-07T02:19:54.917+00:00|1168231121308|565
2012-12-07T02:19:54.917+00:00|1168231121308|578
2012-12-07T02:19:54.917+00:00|1168231121308|588
2012-12-07T02:19:54.917+00:00|1168231121308|778
2012-12-07T02:19:54.917+00:00|1168231121308|973
2012-12-07T02:19:54.917+00:00|1168231121308|1206
2012-12-07T02:19:54.917+00:00|1168231121308|1940
2012-12-07T02:19:54.917+00:00|1168231121308|1984
2012-12-07T02:19:54.917+00:00|1168231121308|1986
2012-12-07T02:19:54.917+00:00|1168231121308|2048
2012-12-07T02:19:54.917+00:00|1168231121308|2058
2012-12-07T02:19:54.917+00:00|1168231121308|2115
2012-12-07T02:19:54.917+00:00|1168231121308|2783
2012-12-07T02:19:54.917+00:00|1168231121308|2788
2012-12-07T02:19:54.917+00:00|1168231121308|2805
2012-12-07T02:19:54.917+00:00|1168231121308|5161
2012-12-07T02:19:54.917+00:00|1168231121308|5191
2012-12-07T02:19:54.917+00:00|1168231121308|6413
2012-12-07T02:19:54.917+00:00|1168231121308|6456
2012-12-07T02:19:54.917+00:00|1168231121308|11622
2012-12-07T02:19:54.917+00:00|1168231121308|11625
2012-12-07T02:19:54.917+00:00|1168231121308|11742
2012-12-07T02:19:54.917+00:00|1168231121308|12002
2012-12-07T03:36:23.973+00:00|1168231113540|6976
2012-12-07T04:32:17.863+00:00|1168231108186|2795
2012-12-07T06:30:08.594+00:00|1168231114796|1452
2012-12-07T07:00:25.531+00:00|1168231119901|5063
2012-12-07T08:31:19.227+00:00|1168231118224|1984
2012-12-07T08:49:18.018+00:00|1168231121112|1178
2012-12-07T09:30:51.726+00:00|1168231120160|2871
2012-12-07T09:54:56.226+00:00|1168231110148|3102
2012-12-07T10:38:30.959+00:00|1168231120037|3001
2012-12-07T11:39:24.454+00:00|1168231119500|244
2012-12-07T13:18:06.634+00:00|1168231115768|3041
2012-12-07T13:57:16.146+00:00|1168231120604|2948
2012-12-07T14:33:32.214+00:00|1168231118992|6413
2012-12-07T15:51:45.364+00:00|1168231108877|5475
2012-12-07T16:32:19.671+00:00|1168231118145|1546
2012-12-07T16:56:30.998+00:00|1168231115302|1995
2012-12-07T17:15:19.939+00:00|1168231117708|2027
2012-12-07T19:05:54.255+00:00|1168231114279|468
2012-12-07T20:12:56.499+00:00|1168231106010|565
2012-12-07T20:41:25.966+00:00|1168231110886|776
2012-12-07T20:48:00.613+00:00|1168231111017|1193
2012-12-07T20:48:50.184+00:00|1168231113827|1444
2012-12-07T22:44:00.547+00:00|1168231109906|11695
