deletionDate|Person1Id|Person2Id
2012-12-12T05:45:04.110+00:00|4398046512623|19791209301378
2012-12-12T10:10:59.150+00:00|17592186045284|30786325578736
2012-12-12T10:16:30.440+00:00|21990232556466|26388279067210
2012-12-12T10:26:43.968+00:00|8796093023658|35184372089722
2012-12-12T12:08:02.709+00:00|2199023257140|24189255812164
2012-12-12T15:04:45.014+00:00|1223|24189255812512
2012-12-12T21:07:16.690+00:00|10995116279037|17592186044826
2012-12-12T21:28:46.045+00:00|2199023255898|17592186045748
2012-12-12T21:32:45.712+00:00|19791209300164|32985348834680
2012-12-12T21:47:56.487+00:00|19791209300828|35184372090424
2012-12-12T22:06:22.369+00:00|24189255812037|26388279068318
2012-12-12T22:15:14.459+00:00|10995116279093|26388279066773
