deletionDate|ForumId|PersonId
2012-12-31T00:03:32.986+00:00|1099511644415|30786325578867
2012-12-31T00:21:44.480+00:00|1168231117279|19791209301454
2012-12-31T01:24:15.784+00:00|1099511644391|28587302323314
2012-12-31T01:30:23.336+00:00|1168231121180|6597069766697
2012-12-31T02:01:00.063+00:00|1168231120562|8796093023536
2012-12-31T05:21:42.863+00:00|1168231120936|4398046512700
2012-12-31T07:09:13.924+00:00|1168231121285|10995116278482
2012-12-31T09:11:29.106+00:00|893353213180|21990232555934
2012-12-31T09:17:12.362+00:00|618475297975|37383395345044
2012-12-31T09:34:51.334+00:00|1168231121286|21990232556623
2012-12-31T09:50:01.004+00:00|1168231121179|2199023255744
2012-12-31T10:12:27.342+00:00|1168231117279|28587302323583
2012-12-31T10:39:51.438+00:00|1168231107309|17592186045707
2012-12-31T10:42:57.308+00:00|1099511641502|26388279067663
2012-12-31T11:19:16.459+00:00|1168231113381|37383395344878
2012-12-31T11:27:15.498+00:00|824633728680|37383395345429
2012-12-31T12:27:38.899+00:00|1168231121101|24189255811142
2012-12-31T12:59:45.419+00:00|1168231121178|6597069768167
2012-12-31T13:01:45.840+00:00|1168231121179|28587302322495
2012-12-31T13:02:43.962+00:00|1168231121284|37383395344993
2012-12-31T13:17:23.301+00:00|1099511641504|37383395344878
2012-12-31T13:24:54.465+00:00|1099511643387|24189255811577
2012-12-31T13:53:21.828+00:00|412316867761|37383395345141
2012-12-31T14:57:27.360+00:00|1168231121286|17592186044645
2012-12-31T16:11:26.969+00:00|1168231119546|4398046512651
2012-12-31T16:13:41.346+00:00|1099511631041|17592186044846
2012-12-31T17:13:38.256+00:00|1099511628489|19791209299987
2012-12-31T17:45:50.989+00:00|137438954334|17592186045813
2012-12-31T18:45:39.243+00:00|1168231120893|37383395345239
2012-12-31T18:55:50.670+00:00|412316861276|37383395345628
2012-12-31T19:33:32.890+00:00|1099511631039|13194139534789
2012-12-31T19:37:29.096+00:00|1168231120562|4398046511304
2012-12-31T20:14:38.077+00:00|1099511643827|24189255812068
2012-12-31T20:17:34.057+00:00|1168231121286|28587302322758
2012-12-31T20:19:28.528+00:00|1168231120893|32985348833781
2012-12-31T20:54:59.191+00:00|1168231121241|24189255812068
2012-12-31T21:08:39.023+00:00|824633736106|37383395345027
2012-12-31T21:23:09.883+00:00|1168231117436|10995116278996
2012-12-31T21:31:23.344+00:00|1168231120936|21990232556019
2012-12-31T21:34:18.986+00:00|1168231120562|30786325578300
2012-12-31T21:57:08.147+00:00|1168231121179|8796093023573
2012-12-31T22:24:36.861+00:00|1168231117436|15393162789263
2012-12-31T22:33:22.822+00:00|1168231117436|37383395344767
2012-12-31T22:36:29.819+00:00|1168231120936|37383395345707
2012-12-31T22:41:56.247+00:00|1168231116135|1180
2012-12-31T23:24:21.795+00:00|1168231117436|37383395345027
2012-12-31T23:24:46.903+00:00|1168231117436|37383395344705
2012-12-31T23:28:16.858+00:00|1168231121235|35184372088985
2012-12-31T23:35:30.328+00:00|1168231117436|21990232555642
2012-12-31T23:37:29.987+00:00|343597387272|21990232556121
2012-12-31T23:56:11.334+00:00|1168231117436|2199023256576
2012-12-31T23:59:58.084+00:00|1099511642390|28587302323659
