deletionDate|id
2012-12-05T00:30:00.702+00:00|1168231196456
2012-12-05T02:08:41.909+00:00|1168231294112
2012-12-05T02:41:17.404+00:00|1168231396826
2012-12-05T03:17:12.105+00:00|1168231439755
2012-12-05T04:15:47.186+00:00|1168231423776
2012-12-05T04:46:33.706+00:00|1168231371398
2012-12-05T07:27:09.700+00:00|1168231500816
2012-12-05T07:32:08.444+00:00|1168231380464
2012-12-05T08:50:22.401+00:00|1168231377726
2012-12-05T10:48:51.020+00:00|1168231309376
2012-12-05T11:12:59.477+00:00|1168231505142
2012-12-05T11:14:59.649+00:00|1168231322530
2012-12-05T11:41:53.040+00:00|1168231142838
2012-12-05T13:54:17.134+00:00|1168231113823
2012-12-05T17:40:27.835+00:00|1168231130912
2012-12-05T20:12:38.910+00:00|1168231423835
2012-12-05T21:33:25.738+00:00|1168231371559
2012-12-05T21:42:11.926+00:00|1168231321816
