deletionDate|PersonId|CommentId
2012-12-14T00:52:26.426+00:00|13194139534936|1168231469505
2012-12-14T00:54:39.675+00:00|15393162789357|1168231209686
2012-12-14T02:36:23.143+00:00|28587302322210|1168231445751
2012-12-14T03:14:00.873+00:00|21990232555642|1168231441564
2012-12-14T04:45:40.416+00:00|8796093022932|1168231401208
2012-12-14T05:06:28.843+00:00|21990232555636|1168231189069
2012-12-14T05:16:53.209+00:00|35184372090311|1168231338723
2012-12-14T07:34:50.186+00:00|24189255812167|1168231428194
2012-12-14T08:19:45.629+00:00|26388279067562|1168231493486
2012-12-14T08:32:25.568+00:00|21990232556059|1168231156184
2012-12-14T09:30:11.945+00:00|32985348834914|1168231351804
2012-12-14T12:19:50.972+00:00|21990232556511|1168231294650
2012-12-14T19:34:21.367+00:00|28587302322180|1168231493486
2012-12-14T20:19:29.820+00:00|10995116277805|1168231236773
2012-12-14T22:16:38.827+00:00|17592186046075|1168231322878
2012-12-14T22:35:27.436+00:00|10995116278083|1168231121897
2012-12-14T23:05:26.097+00:00|21990232555855|1168231163882
2012-12-14T23:48:45.373+00:00|28587302322196|1168231393386
