creationDate|PersonId|PostId
2012-12-21T00:08:40.741+00:00|21990232557062|1168231494816
2012-12-21T00:19:36.755+00:00|28587302322297|1168231250841
2012-12-21T00:29:30.049+00:00|10995116278390|1168231377983
2012-12-21T00:36:05.933+00:00|15393162790399|1168231503577
2012-12-21T00:40:44.370+00:00|30786325577740|1168231160727
2012-12-21T00:45:38.606+00:00|13194139534447|1168231298439
2012-12-21T00:54:16.388+00:00|2199023255686|1168231204532
2012-12-21T01:12:45.003+00:00|15393162789912|1168231298439
2012-12-21T01:13:45.096+00:00|15393162789840|1168231189861
2012-12-21T01:32:21.893+00:00|8796093022967|1168231498058
2012-12-21T01:33:09.635+00:00|30786325579172|1168231196372
2012-12-21T01:34:37.535+00:00|10995116277934|1168231482357
2012-12-21T01:46:47.034+00:00|13194139534338|1168231189861
2012-12-21T01:47:55.758+00:00|4398046512479|1168231160727
2012-12-21T02:03:12.016+00:00|30786325577944|1168231493498
2012-12-21T02:18:02.554+00:00|21990232555748|1168231160727
2012-12-21T02:31:00.758+00:00|24189255811905|1168231261628
2012-12-21T02:31:46.432+00:00|17592186044881|1168231498521
2012-12-21T02:39:03.340+00:00|1130|1168231498521
2012-12-21T02:46:42.384+00:00|32985348833410|1168231160727
2012-12-21T02:54:35.850+00:00|4398046512338|1168231298439
2012-12-21T03:12:36.148+00:00|2199023256738|1168231493498
2012-12-21T03:27:31.394+00:00|26388279068275|1168231298439
2012-12-21T03:41:19.308+00:00|35184372089719|1168231203060
2012-12-21T03:41:21.262+00:00|10995116278449|1168231444588
2012-12-21T04:15:52.980+00:00|32985348834871|1168231498058
2012-12-21T04:18:59.747+00:00|35184372089798|1168231203060
2012-12-21T04:22:39.424+00:00|6597069768167|1168231204532
2012-12-21T04:28:19.405+00:00|24189255812458|1168231493498
2012-12-21T04:32:11.053+00:00|17592186045071|1168231128304
2012-12-21T04:35:06.468+00:00|37383395344721|1168231203060
2012-12-21T04:39:58.219+00:00|28587302322664|1168231435871
2012-12-21T05:00:41.524+00:00|17592186044850|1168231452072
2012-12-21T05:05:03.538+00:00|13194139534454|1168231503577
2012-12-21T05:09:58.495+00:00|28587302322534|1168231265105
2012-12-21T05:10:59.434+00:00|17592186045996|1168231444588
2012-12-21T05:27:08.503+00:00|37383395345628|1168231493498
2012-12-21T05:29:09.631+00:00|2199023256479|1168231203060
2012-12-21T05:29:16.374+00:00|37383395345707|1168231148033
