creationDate|PostId|TagId
2012-12-22T00:13:09.434+00:00|1168231486980|418
2012-12-22T00:20:17.606+00:00|1168231395259|1176
2012-12-22T00:23:06.087+00:00|1168231484344|1
2012-12-22T00:23:06.087+00:00|1168231484344|441
2012-12-22T00:23:06.087+00:00|1168231484344|7582
2012-12-22T00:29:13.698+00:00|1168231395301|1176
2012-12-22T00:31:37.107+00:00|1168231443584|1708
2012-12-22T00:41:04.918+00:00|1168231395603|1176
2012-12-22T00:52:28.155+00:00|1168231295651|1178
2012-12-22T00:58:05.079+00:00|1168231184123|6
2012-12-22T00:58:19.298+00:00|1168231376861|1023
2012-12-22T01:10:10.200+00:00|1168231507505|9272
2012-12-22T01:32:09.398+00:00|1168231350499|282
2012-12-22T01:57:59.896+00:00|1168231187882|11742
2012-12-22T02:22:34.415+00:00|1168231508685|7543
2012-12-22T02:29:01.140+00:00|1168231179663|9177
2012-12-22T02:38:02.308+00:00|1168231188946|295
2012-12-22T04:00:27.964+00:00|1168231121024|1153
2012-12-22T04:02:49.270+00:00|1168231338115|273
2012-12-22T04:03:02.366+00:00|1168231469528|573
2012-12-22T04:35:51.429+00:00|1168231504877|3010
2012-12-22T04:45:24.359+00:00|1168231128004|5445
2012-12-22T05:01:09.981+00:00|1168231454117|2107
2012-12-22T06:12:03.399+00:00|1168231122397|1153
2012-12-22T06:21:17.239+00:00|1168231357174|1612
2012-12-22T06:40:58.624+00:00|1168231370841|61
2012-12-22T07:03:11.839+00:00|1168231299523|147
2012-12-22T07:03:35.622+00:00|1168231463364|1581
2012-12-22T07:04:22.844+00:00|1168231189348|295
2012-12-22T07:04:34.964+00:00|1168231329259|1766
2012-12-22T07:35:05.029+00:00|1168231204514|3019
2012-12-22T07:51:57.252+00:00|1168231177575|2785
2012-12-22T08:08:28.807+00:00|1168231122408|1153
2012-12-22T08:10:37.192+00:00|1168231299707|147
2012-12-22T08:11:14.548+00:00|1168231504028|2777
2012-12-22T08:35:58.277+00:00|1168231112074|2951
2012-12-22T09:10:27.373+00:00|1168231486741|418
2012-12-22T09:27:06.390+00:00|1168231506086|778
2012-12-22T09:27:52.294+00:00|1168231508100|2814
2012-12-22T09:33:58.541+00:00|1168231369223|249
2012-12-22T10:16:19.121+00:00|1168231298996|147
2012-12-22T10:30:31.166+00:00|1168231481420|6733
2012-12-22T10:37:24.545+00:00|1168231348365|11541
2012-12-22T10:39:47.808+00:00|1168231398062|1547
2012-12-22T10:45:49.278+00:00|1168231185947|973
2012-12-22T10:50:07.019+00:00|1168231474027|782
2012-12-22T11:07:26.260+00:00|1168231334230|2820
2012-12-22T11:26:08.348+00:00|1168231322172|2888
2012-12-22T12:43:11.838+00:00|1168231505653|277
2012-12-22T12:43:22.304+00:00|1168231323242|1206
2012-12-22T12:47:59.440+00:00|1168231122788|1153
2012-12-22T13:15:42.123+00:00|1168231504795|3010
2012-12-22T13:20:54.207+00:00|1168231281687|283
2012-12-22T13:21:40.027+00:00|1168231508611|775
2012-12-22T13:41:37.810+00:00|1168231189735|6440
2012-12-22T13:42:35.450+00:00|1168231262831|790
2012-12-22T14:14:19.356+00:00|1168231507183|2823
2012-12-22T14:32:22.463+00:00|1168231474018|782
2012-12-22T14:58:09.752+00:00|1168231350732|282
2012-12-22T15:22:31.126+00:00|1168231322854|2888
2012-12-22T15:49:40.764+00:00|1168231127099|5113
2012-12-22T16:31:17.809+00:00|1168231472824|1149
2012-12-22T16:34:25.012+00:00|1168231290511|7594
2012-12-22T16:35:38.340+00:00|1168231129631|4
2012-12-22T16:39:04.108+00:00|1168231289716|1188
2012-12-22T16:59:18.872+00:00|1168231463831|1581
2012-12-22T17:52:33.848+00:00|1168231424950|410
2012-12-22T17:56:39.064+00:00|1168231173156|1953
2012-12-22T18:20:04.809+00:00|1168231483101|2885
2012-12-22T18:26:21.090+00:00|1168231335007|9
2012-12-22T18:26:21.090+00:00|1168231335007|1995
