deletionDate|PersonId|PostId
2012-12-31T01:15:37.481+00:00|4398046511290|1168231122556
2012-12-31T01:23:12.909+00:00|26388279068275|1168231174244
2012-12-31T03:12:28.256+00:00|2199023255851|1168231183779
2012-12-31T04:31:19.799+00:00|375|1168231174244
2012-12-31T04:46:55.067+00:00|8796093022784|1168231253489
2012-12-31T05:31:15.124+00:00|13194139533965|1168231174244
2012-12-31T06:35:14.387+00:00|32985348834321|1168231183779
2012-12-31T06:55:46.401+00:00|6597069767839|1168231463421
2012-12-31T11:12:23.651+00:00|4398046511870|1168231507485
2012-12-31T12:01:36.330+00:00|19791209301084|1168231395589
2012-12-31T12:23:58.444+00:00|10995116279182|1168231500992
2012-12-31T14:58:43.957+00:00|28587302323090|1168231290594
2012-12-31T15:21:39.092+00:00|10995116279364|1168231174244
2012-12-31T15:49:08.851+00:00|21990232555639|1168231185930
2012-12-31T16:04:00.871+00:00|17592186046075|1168231290594
2012-12-31T16:25:25.515+00:00|15393162790071|1168231507485
2012-12-31T18:02:56.427+00:00|4398046511168|1168231127187
2012-12-31T18:18:56.528+00:00|375|1168231185930
2012-12-31T18:42:15.453+00:00|17592186044991|1168231508215
2012-12-31T18:48:26.738+00:00|32985348834665|1168231297732
2012-12-31T18:49:34.195+00:00|26388279068153|1168231322111
2012-12-31T19:18:57.630+00:00|24189255812167|1168231292514
2012-12-31T20:15:23.166+00:00|19791209300778|1168231338103
2012-12-31T20:19:57.410+00:00|2199023255898|1168231290594
2012-12-31T20:30:04.438+00:00|28587302323051|1168231174244
2012-12-31T20:36:51.374+00:00|6597069767011|1168231185930
2012-12-31T20:38:13.317+00:00|6597069766895|1168231456984
2012-12-31T21:18:21.148+00:00|28587302322838|1168231487059
2012-12-31T23:01:30.657+00:00|30786325577809|1168231487059
2012-12-31T23:25:28.774+00:00|35184372089100|1168231463421
2012-12-31T23:38:48.235+00:00|6597069766835|1168231346579
2012-12-31T23:58:06.442+00:00|15393162789340|1168231290594
