deletionDate|PersonId|CommentId
2012-12-19T03:56:30.807+00:00|30786325577944|1168231493186
2012-12-19T06:04:39.582+00:00|8796093022449|1168231173944
2012-12-19T08:12:49.536+00:00|26388279067357|1168231273885
2012-12-19T08:33:33.281+00:00|32985348834871|1168231136258
2012-12-19T08:55:49.736+00:00|19791209301104|1168231135966
2012-12-19T09:20:56.702+00:00|10995116278995|1168231415184
2012-12-19T09:59:46.413+00:00|35184372090464|1168231428900
2012-12-19T11:20:35.890+00:00|26388279066795|1168231322765
2012-12-19T11:23:07.871+00:00|30786325578671|1168231434453
2012-12-19T11:42:51.194+00:00|35184372089257|1168231338515
2012-12-19T12:07:28.834+00:00|24189255812726|1168231217789
2012-12-19T12:14:47.237+00:00|4398046512338|1168231347737
2012-12-19T13:22:34.084+00:00|28587302323283|1168231474004
2012-12-19T13:30:42.281+00:00|28587302323361|1168231187350
2012-12-19T16:23:39.113+00:00|13194139534869|1168231351804
2012-12-19T16:24:22.509+00:00|35184372089698|1168231238302
2012-12-19T16:56:26.863+00:00|37383395345740|1168231135966
2012-12-19T17:11:30.521+00:00|28587302323330|1168231453282
2012-12-19T17:19:28.997+00:00|35184372090424|1168231286626
2012-12-19T21:39:46.960+00:00|24189255812506|1168231295643
