deletionDate|Person1Id|Person2Id
2012-12-20T01:52:36.921+00:00|19791209301431|21990232557010
2012-12-20T02:32:26.925+00:00|8796093022260|19791209300656
2012-12-20T03:20:20.645+00:00|910|2199023255989
2012-12-20T05:52:33.295+00:00|4398046512103|21990232555748
2012-12-20T06:50:14.802+00:00|910|26388279067248
2012-12-20T08:33:57.033+00:00|6597069766769|13194139534338
2012-12-20T10:10:18.653+00:00|19791209300060|37383395345948
2012-12-20T12:42:14.772+00:00|2199023256472|32985348834826
2012-12-20T16:07:39.786+00:00|26388279067761|35184372089798
2012-12-20T18:32:16.914+00:00|2199023256981|37383395345948
2012-12-20T20:16:11.923+00:00|15393162790526|37383395345078
2012-12-20T20:27:59.940+00:00|4398046512405|10995116279375
2012-12-20T22:34:53.293+00:00|19791209300227|35184372090136
2012-12-20T22:55:49.538+00:00|8796093023077|21990232557184
