creationDate|PersonId|CommentId
2012-12-18T00:00:00.009+00:00|15393162789066|1168231174830
2012-12-18T00:03:14.753+00:00|32985348834756|1168231346011
2012-12-18T00:03:28.847+00:00|8796093023896|1168231174830
2012-12-18T00:03:45.817+00:00|13194139533714|1168231189069
2012-12-18T00:04:41.150+00:00|6597069767390|1168231493446
2012-12-18T00:04:56.903+00:00|32985348833515|1168231429126
2012-12-18T00:08:00.693+00:00|28587302323691|1168231174228
2012-12-18T00:08:18.944+00:00|71|1168231119007
2012-12-18T00:09:08.821+00:00|19791209300650|1168231364340
2012-12-18T00:10:50.506+00:00|6597069768249|1168231274927
2012-12-18T00:13:11.964+00:00|910|1168231489131
2012-12-18T00:15:37.341+00:00|21990232555748|1168231286626
2012-12-18T00:16:52.563+00:00|17592186044991|1168231286626
2012-12-18T00:17:00.607+00:00|37383395346069|1168231411747
2012-12-18T00:17:38.730+00:00|10995116278996|1168231429126
2012-12-18T00:19:25.543+00:00|37383395344977|1168231108100
2012-12-18T00:20:49.345+00:00|10995116277934|1168231309316
2012-12-18T00:25:27.517+00:00|19791209300333|1168231286626
2012-12-18T00:28:41.053+00:00|15393162789466|1168231411747
2012-12-18T00:29:44.317+00:00|4398046511304|1168231418493
2012-12-18T00:31:55.188+00:00|24189255812674|1168231123085
2012-12-18T00:32:03.305+00:00|4398046511934|1168231445050
2012-12-18T00:36:11.648+00:00|19791209300744|1168231355624
2012-12-18T00:41:54.996+00:00|17592186045284|1168231286626
2012-12-18T00:43:55.155+00:00|10995116277761|1168231207498
2012-12-18T00:45:41.403+00:00|15393162790481|1168231286626
2012-12-18T00:46:22.526+00:00|6597069767839|1168231189504
2012-12-18T00:46:36.521+00:00|19791209301377|1168231355624
2012-12-18T00:48:41.900+00:00|375|1168231186117
2012-12-18T00:49:08.434+00:00|6597069767381|1168231136500
2012-12-18T00:49:49.327+00:00|28587302323720|1168231352007
2012-12-18T00:50:11.904+00:00|2199023257197|1168231450810
2012-12-18T00:50:25.448+00:00|28587302322664|1168231428900
2012-12-18T00:50:26.855+00:00|21990232556623|1168231135966
2012-12-18T00:55:44.440+00:00|2199023256608|1168231186117
2012-12-18T00:56:33.515+00:00|28587302322180|1168231428194
2012-12-18T00:57:53.177+00:00|37383395344412|1168231163882
2012-12-18T00:59:21.594+00:00|30786325579197|1168231286626
2012-12-18T01:01:41.435+00:00|13194139534224|1168231481599
2012-12-18T01:02:20.121+00:00|19791209300590|1168231507153
2012-12-18T01:05:05.574+00:00|35184372090482|1168231237322
2012-12-18T01:06:09.187+00:00|37383395345452|1168231189366
2012-12-18T01:06:37.507+00:00|28587302323163|1168231302265
2012-12-18T01:07:11.237+00:00|4398046512328|1168231346011
2012-12-18T01:07:46.910+00:00|10995116277851|1168231481599
2012-12-18T01:08:30.840+00:00|17592186044609|1168231253349
2012-12-18T01:09:41.333+00:00|2199023255790|1168231300007
2012-12-18T01:14:50.050+00:00|6597069766789|1168231508301
2012-12-18T01:15:46.860+00:00|10995116279002|1168231441170
2012-12-18T01:17:27.274+00:00|10995116278836|1168231119007
2012-12-18T01:18:03.125+00:00|28587302323263|1168231136500
2012-12-18T01:18:35.193+00:00|26388279067029|1168231235808
2012-12-18T01:19:40.375+00:00|166|1168231161495
2012-12-18T01:20:45.642+00:00|13194139534658|1168231122402
2012-12-18T01:20:57.684+00:00|35184372090158|1168231112167
2012-12-18T01:22:13.006+00:00|1096|1168231286626
2012-12-18T01:24:29.843+00:00|28587302323330|1168231411747
2012-12-18T01:29:05.069+00:00|24189255811539|1168231173944
2012-12-18T01:29:25.838+00:00|8796093023209|1168231449517
2012-12-18T01:29:35.692+00:00|6597069766853|1168231119007
2012-12-18T01:29:35.783+00:00|1096|1168231383542
2012-12-18T01:31:08.939+00:00|13194139533645|1168231122402
2012-12-18T01:31:32.102+00:00|13194139534447|1168231240914
2012-12-18T01:32:58.667+00:00|35184372090400|1168231493446
2012-12-18T01:34:18.079+00:00|35184372089586|1168231189504
2012-12-18T01:34:26.149+00:00|30786325579250|1168231286626
2012-12-18T01:36:17.635+00:00|17592186044800|1168231351804
2012-12-18T01:39:09.701+00:00|17592186044574|1168231351807
2012-12-18T01:41:16.050+00:00|15393162789811|1168231441170
2012-12-18T01:44:10.788+00:00|1412|1168231300375
2012-12-18T01:48:52.220+00:00|10995116279375|1168231274927
2012-12-18T01:49:56.152+00:00|24189255812623|1168231189504
2012-12-18T01:50:00.511+00:00|26388279067202|1168231163882
2012-12-18T01:51:41.320+00:00|705|1168231119007
2012-12-18T01:53:31.896+00:00|37383395345096|1168231454230
2012-12-18T01:53:56.115+00:00|37383395344977|1168231207498
2012-12-18T01:54:10.440+00:00|8796093022784|1168231253349
2012-12-18T01:55:12.717+00:00|17592186045913|1168231493266
2012-12-18T01:56:23.580+00:00|32985348834162|1168231321547
2012-12-18T02:02:08.345+00:00|10995116278449|1168231416309
2012-12-18T02:05:38.623+00:00|17592186044574|1168231351804
2012-12-18T02:07:18.738+00:00|15393162790071|1168231367395
2012-12-18T02:10:39.647+00:00|17592186045577|1168231286626
2012-12-18T02:12:18.036+00:00|24189255812361|1168231189504
2012-12-18T02:14:39.007+00:00|21990232556610|1168231112167
2012-12-18T02:16:18.884+00:00|8796093023070|1168231188466
2012-12-18T02:18:04.152+00:00|21990232556301|1168231237322
2012-12-18T02:18:31.855+00:00|701|1168231347737
2012-12-18T02:23:23.021+00:00|32985348833576|1168231209686
2012-12-18T02:23:29.055+00:00|30786325578073|1168231174830
2012-12-18T02:26:58.423+00:00|28587302323361|1168231186117
2012-12-18T02:29:11.868+00:00|26388279067202|1168231300007
2012-12-18T02:33:14.612+00:00|4398046511591|1168231385726
2012-12-18T02:33:53.151+00:00|17592186045195|1168231476053
2012-12-18T02:35:50.016+00:00|28587302322180|1168231322765
2012-12-18T02:35:50.974+00:00|24189255811431|1168231135966
2012-12-18T02:35:57.442+00:00|30786325578598|1168231286626
2012-12-18T02:36:55.521+00:00|13194139533740|1168231383542
2012-12-18T02:38:11.494+00:00|8796093022629|1168231346011
2012-12-18T02:39:49.047+00:00|2199023255978|1168231322765
2012-12-18T02:40:03.806+00:00|13194139534879|1168231300607
2012-12-18T02:40:32.968+00:00|17592186044744|1168231136980
2012-12-18T02:40:39.969+00:00|37383395344721|1168231174228
