deletionDate|Person1Id|Person2Id
2012-12-24T01:46:49.732+00:00|808|30786325578931
2012-12-24T05:09:10.765+00:00|10995116278996|10995116279037
2012-12-24T05:11:44.194+00:00|19791209300778|37383395345141
2012-12-24T06:08:22.864+00:00|21990232556083|35184372090529
2012-12-24T07:13:36.020+00:00|13194139534592|32985348834665
2012-12-24T07:18:56.025+00:00|8796093023209|32985348834814
2012-12-24T08:42:52.826+00:00|21990232555781|37383395345336
2012-12-24T11:10:05.574+00:00|10995116278132|37383395344428
2012-12-24T12:24:38.744+00:00|13194139534447|35184372089367
2012-12-24T13:26:15.720+00:00|4398046511989|37383395344977
2012-12-24T13:48:52.497+00:00|13194139534447|15393162789811
2012-12-24T15:28:21.653+00:00|32985348833584|37383395346069
2012-12-24T18:02:24.745+00:00|1130|30786325578202
2012-12-24T20:38:19.697+00:00|17592186045934|37383395344878
2012-12-24T20:57:47.246+00:00|26388279067332|37383395344412
