deletionDate|PersonId|PostId
2012-12-29T00:39:16.710+00:00|21990232556984|1168231507485
2012-12-29T01:37:20.147+00:00|8796093023536|1168231122788
2012-12-29T02:47:23.323+00:00|10995116279197|1168231122556
2012-12-29T03:35:28.665+00:00|30786325577918|1168231363716
2012-12-29T04:02:02.307+00:00|19791209300744|1168231463421
2012-12-29T04:11:55.764+00:00|24189255812253|1168231506585
2012-12-29T18:00:17.908+00:00|10995116279197|1168231490429
2012-12-29T18:56:28.680+00:00|13194139534447|1168231108022
2012-12-29T20:05:54.951+00:00|28587302322180|1168231264333
2012-12-29T22:23:34.449+00:00|26388279067660|1168231386417
2012-12-29T23:01:32.521+00:00|32985348833353|1168231406590
